constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
GOSSAIGAON,1,SABHARAM BASUMATARY,Bodoland Peoples Front,PHEDRICSON HANSDAK,Jharkhand Mukti Morcha,22977,13/13,Result Declared,13,13
DOTMA,2,RABIRAM NARZARY,Bodoland Peoples Front,RAJU KUMAR NARZARY,"United People's Party, Liberal",24283,16/16,Result Declared,16,16
KOKRAJHAR,3,SEWLI MOHILARY,Bodoland Peoples Front,LAWRENCE ISLARY,"United People's Party, Liberal",39633,18/18,Result Declared,18,18
BAOKHUNGRI,4,RUPAM CHANDRA ROY,Bodoland Peoples Front,SAPALI MARAK,Indian National Congress,23710,21/21,Result Declared,21,21
PARBATJHORA,5,MD ASHRAFUL ISLAM SHEIKH,Indian National Congress,REZAUL KARIM,Bodoland Peoples Front,9022,20/20,Result Declared,20,20
GOLAKGANJ,6,ASHWINI RAY SARKAR,Bharatiya Janata Party,KARTIK CHANDRA RAY,Indian National Congress,30782,21/21,Result Declared,21,21
GAURIPUR,7,ABDUS SOBAHAN ALI SARKAR,Indian National Congress,NIZANUR RAHMAN,All India United Democratic Front,119097,29/29,Result Declared,29,29
DHUBRI,8,BABY BEGUM,Indian National Congress,NAZRUL HOQUE,All India United Democratic Front,68661,23/23,Result Declared,23,23
BIRSING JARUA,9,WAZED ALI CHOUDHURY,Indian National Congress,ALI AKBAR MIAH,All India United Democratic Front,35885,28/28,Result Declared,28,28
BILASIPARA,10,JIBESH ROY,Asom Gana Parishad,AMRIT BADSHA,Indian National Congress,2694,21/21,Result Declared,21,21
MANKACHAR,11,Mohibur Rohman (Bappy),Indian National Congress,ZABED ISLAM,Asom Gana Parishad,53146,33/33,Result Declared,33,33
JALESHWAR,12,AFTAB UDDIN MOLLAH,Indian National Congress,SHEIKH SHAH ALAM,All India United Democratic Front,109688,30/30,Result Declared,30,30
GOALPARA WEST,13,PABITRA RABHA,Bharatiya Janata Party,MARKLINE MARAK,Indian National Congress,39917,21/21,Result Declared,21,21
GOALPARA EAST,14,ABUL KALAM RASHEED ALAM,Indian National Congress,ABDUR RAHIM ZIBRAN,Asom Gana Parishad,51261,28/28,Result Declared,28,28
DUDHNAI,15,TANKESWAR RABHA,Bharatiya Janata Party,KISHORE KUMAR BRAHMA,Indian National Congress,47637,24/24,Result Declared,24,24
ABHAYAPURI,16,BHUPEN ROY,Bharatiya Janata Party,PRADIP SARKAR,Indian National Congress,58926,18/18,Result Declared,18,18
SRIJANGRAM,17,MD. NURUL ISLAM,Indian National Congress,REJAUL KARIM SARKAR,All India United Democratic Front,18305,22/22,Result Declared,22,22
BONGAIGAON,18,DIPTIMAYEE CHOUDHURY,Asom Gana Parishad,GIRISH BARUAH,Indian National Congress,24998,18/18,Result Declared,18,18
SIDLI CHIRANG,19,PANIRAM BRAHMA,Bodoland Peoples Front,RANJIT BASUMATARY,"United People's Party, Liberal",38601,22/22,Result Declared,22,22
BIJNI,20,ARUP KUMAR DEY,Bharatiya Janata Party,KAMAL SING NARZARY,"United People's Party, Liberal",33927,19/19,Result Declared,19,19
BHOWANIPUR-SORBHOG,21,RANJEET KUMAR DASS,Bharatiya Janata Party,MANORANJAN TALUKDAR,Communist Party of India (Marxist),39152,21/21,Result Declared,21,21
MANDIA,22,SHERMAN ALI AHMED,All India Trinamool Congress,ABDUL KHALEQUE,Indian National Congress,27561,25/25,Result Declared,25,25
CHENGA,23,ABDUR RAHIM AHMED,Indian National Congress,ASHRAFUL HUSSAIN,All India United Democratic Front,87349,24/24,Result Declared,24,24
BARPETA,24,DIPAK KUMAR DAS,Asom Gana Parishad,GAGAN CHANDRA HALOI,Independent,47402,17/17,Result Declared,17,17
PAKABETBARI,25,JAKIR HUSSAIN SIKDAR,Indian National Congress,MINAKSHI RAHMAN,All India United Democratic Front,65267,25/25,Result Declared,25,25
BAJALI,26,DHARMESWAR ROY,Asom Gana Parishad,DILIP BARUAH,Assam Jatiya Parishad,24446,18/18,Result Declared,18,18
CHAMARIA,27,REKIBUDDIN AHMED,Indian National Congress,IMDAD HUSSAIN,All India United Democratic Front,78696,25/25,Result Declared,25,25
BOKO-CHAYGAON,28,RAJU MESH,Bharatiya Janata Party,RAMEN SINGH RABHA,Indian National Congress,59554,18/18,Result Declared,18,18
PALASBARI,29,HIMANGSHU SHEKHAR BAISHYA,Bharatiya Janata Party,PANKAJ LOCHAN GOSWAMI,Assam Jatiya Parishad,43953,22/22,Result Declared,22,22
HAJO-SUALKUCHI,30,PRAKASH CHANDRA DAS,Asom Gana Parishad,NANDITA DAS,Indian National Congress,724,20/20,Result Declared,20,20
RANGIA,31,BHABESH KALITA,Bharatiya Janata Party,PRANJIT CHOUDHURY,Indian National Congress,34029,20/20,Result Declared,20,20
KAMALPUR,32,DIGANTA KALITA,Bharatiya Janata Party,SATYABRAT KALITA,Indian National Congress,19449,18/18,Result Declared,18,18
DISPUR,33,PRADYUT BORDOLOI,Bharatiya Janata Party,MIRA BORTHAKUR GOSWAMI,Indian National Congress,49667,20/20,Result Declared,20,20
DIMORIA,34,DR. TAPAN DAS,Asom Gana Parishad,SHRI KISHOR KUMAR BARUAH,Indian National Congress,65385,20/20,Result Declared,20,20
NEW GUWAHATI,35,DIPLU RANJAN SARMAH,Bharatiya Janata Party,SANTANU BORA,Indian National Congress,47668,17/17,Result Declared,17,17
GUWAHATI CENTRAL,36,VIJAY KUMAR GUPTA,Bharatiya Janata Party,KUNKI CHOWDHURY,Assam Jatiya Parishad,61921,17/17,Result Declared,17,17
JALUKBARI,37,HIMANTA BISWA SARMA,Bharatiya Janata Party,BIDISHA NEOG,Indian National Congress,89434,22/22,Result Declared,22,22
BARKHETRI,38,NARAYAN DEKA,Bharatiya Janata Party,DIGANTA BARMAN,Indian National Congress,28844,21/21,Result Declared,21,21
NALBARI,39,JAYANTA MALLABARUAH,Bharatiya Janata Party,ASHOK KUMAR SARMA,Indian National Congress,60101,22/22,Result Declared,22,22
TIHU,40,CHANDRAMOHAN PATOWARY,Bharatiya Janata Party,RATUL PATOWARY,Indian National Congress,26496,19/19,Result Declared,19,19
MANAS,41,THANESWAR BASUMATARY,Bodoland Peoples Front,ANJAN TALUKDAR,Raijor Dal,47410,19/19,Result Declared,19,19
BAKSA,42,MANESWAR BRAHMA,Bodoland Peoples Front,RAKESH BRAHMA,"United People's Party, Liberal",49050,20/20,Result Declared,20,20
TAMULPUR,43,BISWAJIT DAIMARY,Bharatiya Janata Party,PRAMOD BORO,"United People's Party, Liberal",26743,20/20,Result Declared,20,20
GORESWAR,44,VICTOR KUMAR DAS,Bharatiya Janata Party,PABITRA KUMAR BARO,"United People's Party, Liberal",69249,19/19,Result Declared,19,19
BHERGAON,45,MAHESWAR BARO,Bodoland Peoples Front,NERSWN BORO,"United People's Party, Liberal",37797,16/16,Result Declared,16,16
UDALGURI,46,RIHON DAIMARI,Bodoland Peoples Front,DIPEN BORO,"United People's Party, Liberal",27554,17/17,Result Declared,17,17
MAZBAT,47,CHARAN BORO,Bodoland Peoples Front,PRITI REKHA BARLA,Jharkhand Mukti Morcha,55546,16/16,Result Declared,16,16
TANGLA,48,BIKAN CHANDRA DEKA,Bharatiya Janata Party,ROHIT PARIGA,Indian National Congress,54601,21/21,Result Declared,21,21
SIPAJHAR,49,PARAMANANDA RAJBONGSHI,Bharatiya Janata Party,BINANDA KUMAR SAIKIA,Indian National Congress,25245,22/22,Result Declared,22,22
MANGALDAI,50,NILIMA DEVI,Bharatiya Janata Party,RIJUMONI TALUKDAR,Indian National Congress,23936,18/18,Result Declared,18,18
DALGAON,51,MAZIBUR RAHMAN,All India United Democratic Front,MD AYNUL HOQUE,Independent,28880,28/28,Result Declared,28,28
JAGIROAD,52,PIJUSH HAZARIKA,Bharatiya Janata Party,SRI BUBUL DAS,Indian National Congress,93584,24/24,Result Declared,24,24
LAHARIGHAT,53,DR ASIF MOHAMMAD NAZAR,Indian National Congress,SIDDIQUE AHMED,All India United Democratic Front,66295,26/26,Result Declared,26,26
MORIGAON,54,RAMA KANTA DEWRI,Bharatiya Janata Party,BANI KANTA DAS,Assam Jatiya Parishad,65489,21/21,Result Declared,21,21
DHING,55,MEHBOOB MUKTAR,Raijor Dal,MATIUR RAHMAN,All India United Democratic Front,71494,20/20,Result Declared,20,20
RUPAHIHAT,56,NURUL HUDA,Indian National Congress,AMINUL ISLAM,All India United Democratic Front,69766,22/22,Result Declared,22,22
KALIABOR,57,KESHAB MAHANTA,Asom Gana Parishad,JITEN GOUR,Independent,17890,19/19,Result Declared,19,19
SAMAGURI,58,TANZIL HUSSAIN,Indian National Congress,ANIL SAIKIA,Bharatiya Janata Party,108310,21/21,Result Declared,21,21
BARHAMPUR,59,JITU GOSWAMI,Bharatiya Janata Party,RAJEN GOHAIN,Assam Jatiya Parishad,56141,22/22,Result Declared,22,22
NAGAON-BATADRABA,60,RUPAK SARMAH,Bharatiya Janata Party,DURLAV CHAMUA,Indian National Congress,61984,18/18,Result Declared,18,18
RAHA,61,SASHI KANTA DAS,Bharatiya Janata Party,UTPAL BANIA,Indian National Congress,20594,23/23,Result Declared,23,23
BINNAKANDI,62,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,REJAUL KARIM CHOWDHURY,Assam Jatiya Parishad,35380,30/30,Result Declared,30,30
HOJAI,63,SHILADITYA DEV,Bharatiya Janata Party,JHILLI CHOWDHURY,Indian National Congress,66701,27/27,Result Declared,27,27
LUMDING,64,SIBU MISRA,Bharatiya Janata Party,SWAPAN KAR,Indian National Congress,22114,29/29,Result Declared,29,29
DHEKIAJULI,65,ASHOK SINGHAL,Bharatiya Janata Party,BATASH ORANG,Indian National Congress,48169,22/22,Result Declared,22,22
BARCHALLA,66,RITU BARAN SARMAH,Bharatiya Janata Party,RIPUN BORA,Indian National Congress,24562,18/18,Result Declared,18,18
TEZPUR,67,PRITHIRAJ RAVA,Asom Gana Parishad,ALOK NATH,Raijor Dal,19950,17/17,Result Declared,17,17
RANGAPARA,68,KRISHNA KAMAL TANTI,Bharatiya Janata Party,KARTIK CHANDRA KURMI,Indian National Congress,43315,18/18,Result Declared,18,18
NADUAR,69,PADMA HAZARIKA,Bharatiya Janata Party,SUNIL KUMAR CHHETRI,Indian National Congress,52916,19/19,Result Declared,19,19
BISWANATH,70,PALLAB LOCHAN DAS,Bharatiya Janata Party,JAYANTA BORAH,Indian National Congress,25770,17/17,Result Declared,17,17
BEHALI,71,MUNINDRA DAS (BAPTI),Bharatiya Janata Party,GYANENDRA SARKAR,Communist Party of India (Marxist-Leninist) (Liberation),60703,17/17,Result Declared,17,17
GOHPUR,72,UTPAL BORAH,Bharatiya Janata Party,SANKAR JYOTI KUTUM,Indian National Congress,52722,19/19,Result Declared,19,19
BIHPURIA,73,BHUPEN KUMAR BORAH,Bharatiya Janata Party,NARAYAN BHUYAN,Indian National Congress,8236,15/15,Result Declared,15,15
RONGONADI,74,RISHIRAJ HAZARIKA,Bharatiya Janata Party,JAYANTA KHAUND,Indian National Congress,19652,17/17,Result Declared,17,17
NOWBOICHA,75,DR. JOY PRAKASH DAS,Indian National Congress,BASANTA DAS,Asom Gana Parishad,23751,16/16,Result Declared,16,16
LAKHIMPUR,76,MANAB DEKA,Bharatiya Janata Party,GHANA BURAGOHAIN,Indian National Congress,32220,16/16,Result Declared,16,16
DHAKUAKHANA,77,SHRI NABA KUMAR DOLEY,Bharatiya Janata Party,ANANDA NARAH,Indian National Congress,50072,17/17,Result Declared,17,17
DHEMAJI,78,DR. RANOJ PEGU,Bharatiya Janata Party,SRI SAILEN SONOWAL,Indian National Congress,32229,17/17,Result Declared,17,17
SISSIBARGAON,79,JIBAN GOGOI,Bharatiya Janata Party,DULAL CHANDRA BORUAH,Raijor Dal,40593,19/19,Result Declared,19,19
JONAI,80,BHUBON PEGU,Bharatiya Janata Party,RAJU KUMAR MEDOK,Indian National Congress,80124,22/22,Result Declared,22,22
