constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
MANJESHWAR,1,A K M ASHRAF,Indian Union Muslim League,K SURENDRAN,Bharatiya Janata Party,29252,17/17,Result Declared,17,17
KASARAGOD,2,KALLATRA MAHIN,Indian Union Muslim League,ASHWINI M L,Bharatiya Janata Party,22698,16/16,Result Declared,16,16
UDMA,3,NEELAKANDAN,Indian National Congress,C H KUNHAMBU,Communist Party of India (Marxist),4847,18/18,Result Declared,18,18
KANHANGAD,4,ADV. GOVINDAN PALLIKAPPIL,Communist Party of India,SHAIJI OTTAPALLI,Kerala Congress,15316,19/19,Result Declared,19,19
TRIKARIPUR,5,SANDEEP VARIER,Indian National Congress,DR. V P P MUSTAFA,Communist Party of India (Marxist),4431,17/17,Result Declared,17,17
PAYYANNUR,6,V. KUNHIKRISHNAN,Independent,T. I. MADHUSOODANAN,Communist Party of India (Marxist),7487,14/14,Result Declared,14,14
KALLIASSERI,7,M.VIJIN,Communist Party of India (Marxist),ADV. RAJEEVAN KAPPACHERI,Indian National Congress,18433,14/14,Result Declared,14,14
TALIPARAMBA,8,T K GOVINDAN MASTER S/O KUNHIKKANNAN NAMBIAR,Independent,P K SHYAMALA TEACHER,Communist Party of India (Marxist),12551,20/20,Result Declared,20,20
IRIKKUR,9,ADV. SAJEEV JOSEPH,Indian National Congress,ADV. MATHEW KUNNAPPALLY,Kerala Congress (M),42426,17/17,Result Declared,17,17
AZHIKODE,10,K. V. SUMESH,Communist Party of India (Marxist),ADV. KAREEM CHELERI,Indian Union Muslim League,349,15/15,Result Declared,15,15
KANNUR,11,ADV.T.O. MOHANAN,Indian National Congress,RAMACHANDRAN KADANNAPPALLI,Congress (Secular),18551,14/14,Result Declared,14,14
DHARMADAM,12,PINARAYI VIJAYAN,Communist Party of India (Marxist),ADV. V.P ABDUL RASHEED,Indian National Congress,19247,15/15,Result Declared,15,15
THALASSERY,13,KARAYI RAJAN,Communist Party of India (Marxist),SAJU K P,Indian National Congress,20523,15/15,Result Declared,15,15
KUTHUPARAMBA,14,P K PRAVEEN,Rashtriya Janata Dal,JAYANTHI RAJAN,Indian Union Muslim League,1286,17/17,Result Declared,17,17
MATTANNUR,15,V K SANOJ,Communist Party of India (Marxist),CHANDRAN THILLANKERI,Indian National Congress,14168,15/15,Result Declared,15,15
PERAVOOR,16,ADV. SUNNY JOSEPH,Indian National Congress,K K SHAILAJA TEACHER,Communist Party of India (Marxist),14453,16/16,Result Declared,16,16
MANANTHAVADY,17,USHA VIJAYAN,Indian National Congress,O R KELU,Communist Party of India (Marxist),10543,17/17,Result Declared,17,17
SULTHANBATHERY,18,I C BALAKRISHNAN,Indian National Congress,M S VISWANATHAN,Communist Party of India (Marxist),16597,18/18,Result Declared,18,18
KALPETTA,19,ADV. T SIDDIQUE,Indian National Congress,P K ANIL KUMAR,Rashtriya Janata Dal,45031,17/17,Result Declared,17,17
VADAKARA,20,K K REMA,Revolutionary Marxist Party of India,M K BHASKARAN,Rashtriya Janata Dal,14862,15/15,Result Declared,15,15
KUTTIADI,21,PARAKKAL ABDULLA,Indian Union Muslim League,K. P. KUNHAMMEDKUTTY MASTER,Communist Party of India (Marxist),10922,17/17,Result Declared,17,17
NADAPURAM,22,K.M. ABHIJITH,Indian National Congress,ADV.P. VASANTHAM,Communist Party of India,23600,19/19,Result Declared,19,19
QUILANDY,23,ADV. K. PRAVEEN KUMAR,Indian National Congress,K. DASAN,Communist Party of India (Marxist),12070,18/18,Result Declared,18,18
PERAMBRA,24,ADV. FATHIMA THAHILIYA,Indian Union Muslim League,T. P. RAMAKRISHNAN,Communist Party of India (Marxist),5087,19/19,Result Declared,19,19
BALUSSERI,25,V.T. SOORAJ,Indian National Congress,ADV. K.M. SACHINDEV,Communist Party of India (Marxist),16980,19/19,Result Declared,19,19
ELATHUR,26,ADV.VIDYA BALAKRISHNAN,Indian National Congress,A.K.SASEENDRAN S/O KUNJAMBU,Nationalist Congress Party - Sharadchandra Pawar,12162,15/15,Result Declared,15,15
KOZHIKODE NORTH,27,ADV.K JAYANTH,Indian National Congress,THOTTATHIL RAVINDRAN,Communist Party of India (Marxist),1483,17/17,Result Declared,17,17
KOZHIKODE SOUTH,28,ADV. FYZAL BABU,Indian Union Muslim League,AHAMMAD DEVARKOVIL,Indian National League,10795,12/12,Result Declared,12,12
BEYPORE,29,P.A MOHAMED RIYAS,Communist Party of India (Marxist),P V ANVAR S/O SHOUKATHALI,Independent,7487,17/17,Result Declared,17,17
KUNNAMANGALAM,30,M.A. RAZAK MASTER,Indian Union Muslim League,ADV. P T A RAHIM,Independent,13313,19/19,Result Declared,19,19
KODUVALLY,31,P K FIROS,Indian Union Muslim League,SALEEM MADAVOOR,Independent,36682,16/16,Result Declared,16,16
THIRUVAMBADI,32,C K KASIM,Indian Union Muslim League,LINTO JOSEPH,Communist Party of India (Marxist),6741,15/15,Result Declared,15,15
KONDOTTY,33,T.P. ASHRAFALI,Indian Union Muslim League,DR. P. JIJI,Communist Party of India (Marxist),56017,19/19,Result Declared,19,19
ERNAD,34,P.K.BASHEER,Indian Union Muslim League,ADV.SHAFEER KIZHISSERI,Communist Party of India,41289,18/18,Result Declared,18,18
NILAMBUR,35,ARYADAN SHOUKATH,Indian National Congress,U SHARAFALI,Independent,54851,19/19,Result Declared,19,19
WANDOOR,36,A.P ANILKUMAR,Indian National Congress,DR.K.K DAMODARAN,Communist Party of India (Marxist),47939,19/19,Result Declared,19,19
MANJERI,37,ADV. M. RAHMATHULLA,Indian Union Muslim League,V.M. MUSTHAFA,Independent,57887,21/21,Result Declared,21,21
PERINTHALMANNA,38,NAJEEB KANTHAPURAM,Indian Union Muslim League,V.P MOHAMMED HANEEFA,Communist Party of India (Marxist),32431,22/22,Result Declared,22,22
MANKADA,39,MANJALAMKUZHI ALI,Indian Union Muslim League,KUNNATH MOHAMED S/O ALI HAJI,Independent,45609,22/22,Result Declared,22,22
