constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
MANNADIPET,1,A. NAMASSIVAYAM,Bharatiya Janata Party,T.P.R. SELVAME,Indian National Congress,6110,4/4,Result Declared,4,4
THIRUBHUVANAI,2,AK. SAI J SARAVANAN KUMAR,Tamilaga Vettri Kazhagam,B. KOBIGA,All India N.R. Congress,701,4/4,Result Declared,4,4
OUSSUDU,3,P. KARTHIKEYAN,Indian National Congress,E. THEEPPAINTHAN,Bharatiya Janata Party,4018,4/4,Result Declared,4,4
MANGALAM,4,N. RANGASAMY,All India N.R. Congress,S.S. RANGAN,Dravida Munnetra Kazhagam,7050,5/5,Result Declared,5,5
VILLIANUR,5,B.RAVICOUMAR,All India N.R. Congress,R.SIVA,Dravida Munnetra Kazhagam,1970,5/5,Result Declared,5,5
OZHUKARAI,6,K.NARAYANASAMY ALIAS NITHYANANDAM,All India N.R. Congress,SASIBALAN,Tamilaga Vettri Kazhagam,4234,5/5,Result Declared,5,5
KADIRGAMAM,7,AZHAGU @ AZHAGANANTHAM,Independent,K.S.P @ S. RAMESH,All India N.R. Congress,7004,4/4,Result Declared,4,4
INDIRA NAGAR,8,P.V. AROUMOUGAME @ AKD,All India N.R. Congress,S. MOUROUGANE,Tamilaga Vettri Kazhagam,584,4/4,Result Declared,4,4
THATTANCHAVADY,9,N. RANGASAMY,All India N.R. Congress,E. VINAYAGAM,Neyam Makkal Kazhagam,4441,4/4,Result Declared,4,4
KAMARAJ NAGAR,10,JOSE CHARLES MARTIN,Latchiya Jananayaka Katchi (LJK),P.K. DEVADOSS,Indian National Congress,10205,4/4,Result Declared,4,4
LAWSPET,11,V.P. SIVAKOLUNDHU,All India N.R. Congress,M. VAITHIANATHAN,Indian National Congress,1417,5/5,Result Declared,5,5
KALAPET,12,SENTHIL @ RAMESH,Dravida Munnetra Kazhagam,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,447,6/6,Result Declared,6,6
MUTHIALPET,13,VAIYAPURI MANIKANDAN,All India N.R. Congress,EERAM G. RAJENDRAN,Indian National Congress,952,4/4,Result Declared,4,4
RAJ BHAVAN,14,VIGNESH KANNAN,Dravida Munnetra Kazhagam,V. P. RAMALINGAME,Bharatiya Janata Party,287,4/4,Result Declared,4,4
OUPALAM,15,A ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,S SIVA,Tamilaga Vettri Kazhagam,1026,4/4,Result Declared,4,4
ORLEAMPETH,16,G. NEHRU ALIAS COUPPOUSSAMY,Neyam Makkal Kazhagam,S. GOPAL,Dravida Munnetra Kazhagam,1201,4/4,Result Declared,4,4
NELLITHOPE,17,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,OMSAKTHISEKAR,Independent,850,4/4,Result Declared,4,4
MUDALIARPET,18,A. JOHNKUMAR,Bharatiya Janata Party,L. SAMBATH,Dravida Munnetra Kazhagam,2371,5/5,Result Declared,5,5
ARIANKUPPAM,19,C. AIYAPPAN @ MOUTTAYAPPAN,All India N.R. Congress,VIZAYALAKSHMY DJEAMOURTHY,Indian National Congress,603,5/5,Result Declared,5,5
MANAVELY,20,B.RAMU,Tamilaga Vettri Kazhagam,EMBALAM SELVAM @ SELVAM. R,Bharatiya Janata Party,3093,5/5,Result Declared,5,5
EMBALAM,21,E. MOHANDOSS,All India N.R. Congress,M. CANDASSAMY,Indian National Congress,4061,5/5,Result Declared,5,5
NETTAPAKKAM,22,P. RAJAVELU,All India N.R. Congress,G. ANBARASAN,Indian National Congress,6689,6/6,Result Declared,6,6
BAHOUR,23,R. SENTHIL KUMAR,Dravida Munnetra Kazhagam,T. THIAGARAJAN,All India N.R. Congress,2397,4/4,Result Declared,4,4
NEDUNGADU,24,DR. V. VIGNESWARAN,Independent,C. CHANDIRA PRIYANGA,All India N.R. Congress,4499,3/3,Result Declared,3,3
THIRUNALLAR,25,G.N.S. RAJASEKARAN,Bharatiya Janata Party,R. KAMALAKANNAN,Indian National Congress,9526,3/3,Result Declared,3,3
KARAIKAL NORTH,26,P.R.N. THIRUMURUGAN,All India N.R. Congress,A.M. RANJITH,Indian National Congress,2653,3/3,Result Declared,3,3
KARAIKAL SOUTH,27,A.M.H. NAZEEM,Dravida Munnetra Kazhagam,AVS SAKTHIVEL PRABU,Indian National Congress,5862,3/3,Result Declared,3,3
NERAVY-T.R.PATTINAM,28,TKSM MEENATCHISUNDARAM,Bharatiya Janata Party,M. NAGATHIYAGARAJAN (NTR),Dravida Munnetra Kazhagam,2018,3/3,Result Declared,3,3
MAHE,29,ADV. T. ASHOK KUMAR,Independent,RAMESH PARAMBATH,Indian National Congress,1115,4/4,Result Declared,4,4
YANAM,30,MALLADI KRISHNA RAO,All India N.R. Congress,GOLLAPALLI SRINIVAS ASHOK,Indian National Congress,4568,5/5,Result Declared,5,5
