assembly_constituency,muslim_percent,const_no,source
Farakka,67.0,55,Outlook India
Jangipur,54.0,58,Outlook India (pre-SIR 46:54 H:M ratio)
Mothabari,63.0,52,Outlook India
Sujapur,89.3,53,The Wire / Swarajya
Baisnabnagar,50.0,54,Swarajya (~equal Hindu-Muslim split)
Nandigram,25.0,210,Sabar Institute / Al Jazeera / Scroll
Bhabanipur,21.9,159,Sabar Institute / Scroll
Ballygunge,50.0,161,Sabar Institute
Metiaburuz,60.0,157,Sabar Institute (Garden Reach pocket)
Jorasanko,20.0,165,Sabar Institute / NRI Affairs
Falta,30.3,144,Chanakyya.com (Muslim voter share)
