AC No.,AC Name,Male,Female,Third Gender,Total
1,Gossaigaon,58021,57849,4,115874
2,Dotma (ST),54066,54886,0,108952
3,Kokrajhar (ST),72235,74864,3,147102
4,Baokhungri,82824,83454,1,166279
5,Parbatjhora,89432,84969,1,174402
6,Golakganj,106320,99477,0,205797
7,Gauripur,157057,146084,4,303145
8,Dhubri,119128,112030,3,231161
9,Birsing-Jarua,141900,134068,1,275969
10,Bilasipara,97613,97783,0,195396
11,Mankachar,156776,153240,4,310020
12,Jaleswar,122913,116216,5,239134
13,Goalpara West (ST),80147,81736,7,161890
14,Goalpara East,112465,112428,3,224896
15,Dudhnoi (ST),85366,91156,1,176523
16,Abhayapuri,90947,91718,2,182667
17,Srijangram,118696,110502,3,229201
18,Bongaigaon,84809,86448,3,171260
19,Sidli Chirang (ST),108456,110365,4,218825
20,Bijni,92390,92498,0,184888
21,Bhawanipur-Sorbhog,107699,106296,0,213995
22,Mandia,139865,131339,2,271206
23,Chenga,128205,118234,9,246448
24,Barpeta (SC),85881,84851,3,170735
25,Pakabetbari,138374,129446,3,267823
26,Bajali,82592,82262,0,164854
27,Chamaria,125017,120368,5,245390
28,Boko-Chaygaon (ST),98794,101568,3,200365
29,Palasbari,107726,113273,0,220999
30,Hajo-Sualkuchi (SC),98917,99949,2,198868
31,Rangia,109341,107252,6,216599
32,Kamalpur,93708,93816,5,187529
33,Dispur,121180,128552,14,249746
34,Dimoria (SC),107526,113567,6,221099
35,New Guwahati,94390,101621,5,196016
36,Guwahati Central,97885,100202,4,198091
37,Jalukbari,100407,110209,8,210624
38,Barkhetri,116394,110029,1,226424
39,Nalbari,101753,99291,0,201044
40,Tihu,105677,102085,1,207763
41,Manas,104013,102586,0,206599
42,Baksa (ST),99872,102277,1,202150
43,Tamulpur (ST),108362,107935,2,216299
44,Goreswar,104491,104919,1,209411
45,Bhergaon,80857,83785,3,164645
46,Udalguri (ST),86292,88655,1,174948
47,Mazbat,93831,95310,2,189143
48,Tangla,91469,94393,0,185862
49,Sipajhar,106611,104683,5,211299
50,Mangaldai,104057,103631,3,207691
51,Dalgaon,160624,157692,10,318326
52,Jagiroad (SC),124729,125411,2,250142
53,Laharighat,155191,146384,6,301581
54,Morigaon,103819,106147,2,209968
55,Dhing,118947,113221,9,232177
56,Rupahihat,115687,110172,7,225866
57,Kaliabor,93466,94948,6,188420
58,Samaguri,111934,110141,7,222082
59,Barhampur,114802,115743,6,230551
60,Nagaon-Batadraba,97408,104536,11,201955
61,Raha (SC),120297,122648,15,242960
62,Binnakandi,136089,129827,4,265920
63,Hojai,128526,124818,2,253346
64,Lumding,124372,121645,1,246018
65,Dhekiajuli,114503,113994,4,228501
66,Barchalla,97395,98342,7,195744
67,Tezpur,87550,93332,3,180885
68,Rangapara,83604,88356,5,171965
69,Naduar,102103,102622,3,204728
70,Biswanath,94129,96497,1,190627
71,Behali (SC),78117,79950,1,158068
72,Gohpur,86850,86629,0,173479
73,Bihpuria,83555,85492,2,169049
74,Rongonadi,89741,90668,3,180412
75,Nowboicha (SC),88368,87442,3,175813
76,Lakhimpur,85283,88078,1,173362
77,Dhakuakhana (ST),82772,82594,0,165366
78,Dhemaji (ST),88754,90076,0,178830
79,Sissiborgaon,91228,90087,0,181315
80,Jonai (ST),111398,112333,0,223731
81,Sadiya,102094,101847,4,203945
82,Doom Dooma,70244,76258,7,146509
83,Margherita,86416,88554,0,174970
84,Digboi,71536,75377,4,146917
85,Makum,76571,82942,5,159518
86,Tinsukia,86516,89765,18,176299
87,Chabua-Lahowal,86328,92764,1,179093
88,Dibrugarh,94172,102501,2,196675
89,Khowang,76162,80715,3,156880
90,Duliajan,87156,91761,3,178920
91,Tingkhong,84595,90469,0,175064
92,Naharkatia,76822,80224,1,157047
93,Sonari,85300,88382,1,173683
94,Mahmora,73352,77029,0,150381
95,Demow,88004,91205,1,179210
96,Sibsagar,103430,106347,1,209778
97,Nazira,89070,94159,2,183231
98,Majuli (ST),73227,71401,0,144628
99,Teok,96986,101334,0,198320
100,Jorhat,72507,78417,0,150924
101,Mariani,82907,86967,1,169875
102,Titabor,98851,105717,0,204568
103,Golaghat,101441,105110,2,206553
104,Dergaon,87952,91426,3,179381
105,Bokakhat,80667,85184,1,165852
106,Khumtai,84342,88469,5,172816
107,Sarupathar,98870,99210,2,198082
108,Bokajan (ST),78627,79575,0,158202
109,Howraghat (ST),95868,99110,5,194983
110,Diphu (ST),92327,94565,11,186903
111,Rongkhang (ST),66636,66221,1,132858
112,Amri (ST),50019,50300,0,100319
113,Haflong (ST),78641,80132,0,158773
114,Lakhipur,87264,89347,1,176612
115,Udharbond,94248,99188,1,193437
116,Katigorah,110460,108724,1,219185
117,Borkhola,104263,103988,0,208251
118,Silchar,107769,114572,10,222351
119,Sonai,98201,97860,4,196065
120,Dholai (SC),99683,99854,1,199538
121,Hailakandi,112226,108537,0,220763
122,Algapur-Katlicherra,143279,130836,1,274116
123,Karimganj North,137052,135864,1,272917
124,Karimganj South,149594,141659,3,291256
125,Patharkandi,93972,91533,4,185509
126,Ram Krishna Nagar (SC),112948,109283,3,222234
