AC No.,AC Name,Male,Female,Third Gender,Total
1,MANJESHWAR,115801,114312,0,230113
2,KASARAGOD,105524,105399,0,210923
3,UDMA,112166,116342,4,228512
4,KANHANGAD,109008,114966,6,223980
5,TRIKARIPUR,102044,108044,2,210090
6,PAYYANNUR,91006,97926,3,188935
7,KALLIASSERI,97648,106147,1,203796
8,TALIPARAMBA,111926,120353,1,232280
9,IRIKKUR,98862,100464,0,199326
10,AZHIKODE,89967,98280,3,188250
11,KANNUR,87817,94865,0,182682
12,DHARMADAM,98049,107950,1,206000
13,THALASSERY,89133,96707,1,185841
14,KUTHUPARAMBA,100327,105444,0,205771
15,MATTANNUR,97553,104166,0,201719
16,PERAVOOR,89726,92657,1,182384
17,MANANTHAVADY,101260,104155,0,205415
18,SULTHANBATHERY,109540,115788,1,225329
19,KALPETTA,103784,109095,2,212881
20,VADAKARA,86097,90734,1,176832
21,KUTTIADI,106343,109592,5,215940
22,NADAPURAM,116190,117498,2,233690
23,QUILANDY,103445,109806,3,213254
24,PERAMBRA,100858,105112,0,205970
25,BALUSSERI,111219,117466,4,228689
26,ELATHUR,101875,109228,2,211105
27,KOZHIKODE NORTH,82145,91056,4,173205
28,KOZHIKODE SOUTH,76168,79802,2,155972
29,BEYPORE,107022,111532,4,218558
30,KUNNAMANGALAM,118100,123879,1,241980
31,KODUVALLY,100198,101470,0,201668
32,THIRUVAMBADY,94944,97007,3,191954
33,KONDOTTY,116003,113366,1,229370
34,ERANAD,100486,99070,0,199556
35,NILAMBUR,115886,120683,7,236576
36,WANDOOR,121473,125711,0,247184
37,MANJERI,113604,114158,0,227762
38,PERINTHALMANNA,113431,116093,1,229525
39,MANKADA,115245,115592,1,230838
40,MALAPPURAM,119984,118096,0,238080
41,VENGARA,108365,103261,4,211630
42,VALLIKKUNNU,111338,109697,1,221036
43,TIRURANGADI,113015,109776,1,222792
44,TANUR,108077,106020,4,214101
45,TIRUR,128200,127229,12,255441
46,KOTTAKKAL,122850,120161,3,243014
47,THAVANUR,103861,104915,0,208776
48,PONNANI,107380,109146,3,216529
49,THRITHALA,100169,103529,2,203700
50,PATTAMBI,104464,106326,0,210790
51,SHORNUR,97386,102232,2,199620
52,OTTAPALAM,101754,107871,2,209627
53,KONGAD,89813,92790,0,182603
54,MANNARKAD,101375,105060,1,206436
55,MALAMPUZHA,95268,100156,5,195429
56,PALAKKAD,85649,90572,3,176224
57,TARUR,81127,83803,0,164930
58,CHITTUR,83908,88104,3,172015
59,NENMARA,90054,91635,1,181690
60,ALATHUR,81649,84007,1,165657
61,CHELAKKARA,98768,105188,0,203956
62,KUNNAMKULAM,95639,101199,1,196839
63,GURUVAYOOR,106573,112128,3,218704
64,MANALUR,108724,113553,1,222278
65,WADAKKANCHERY,97422,104361,3,201786
66,OLLUR,91397,96997,1,188395
67,THRISSUR,76635,84589,1,161225
68,NATTIKA,97846,105580,1,203427
69,KAIPAMANGALAM,88067,94646,3,182716
70,IRINJALAKKUDA,93943,100647,2,194592
71,PUTHUKKAD,94385,97992,0,192377
72,CHALAKKUDY,87562,91645,1,179208
73,KODUNGALLUR,91157,96055,0,187212
74,PERUMBAVOOR,88529,91768,2,180299
75,ANGAMALY,84010,86393,1,170404
76,ALUVA,94500,99855,5,194360
77,KALAMASSERY,95734,101976,2,197712
78,PARAVUR,93430,98216,0,191646
79,VYPEN,78558,82726,1,161285
80,KOCHI,80571,85104,0,165675
81,THRIPUNITHURA,90711,97210,2,187923
82,ERANAKULAM,65501,70720,2,136223
83,THRIKKAKARA,84746,91640,1,176387
84,KUNNATHUNAD,91905,96384,2,188291
85,PIRAVOM,94490,100927,4,195421
86,MUVATTUPUZHA,91420,94829,5,186254
87,KOTHAMANGALAM,84604,87364,0,171968
88,DEVIKULAM,70071,72193,1,142265
89,UDUMBANCHOLA,74219,76081,3,150303
90,THODUPUZHA,93010,95482,3,188495
91,IDUKKI,83076,84746,0,167822
92,PEERUMADE,77210,79331,1,156542
93,PALA,85980,90605,0,176585
94,KADUTHURUTHY,85756,90148,1,175905
95,VAIKOM,75948,80006,3,155957
96,ETTUMANOOR,77347,80908,1,158256
97,KOTTAYAM,71989,77583,1,149573
98,PUTHUPPALLY,82904,87345,5,170254
99,CHANGANASSERY,78554,84329,2,162885
100,KANJIRAPPALLY,86142,91358,0,177500
101,POONJAR,91369,93296,0,184665
102,AROOR,93883,97582,0,191465
103,CHERTHALA,99816,106198,2,206016
104,ALAPPUZHA,93592,98288,0,191880
105,AMBALAPUZHA,83506,87695,2,171203
106,KUTTANAD,75835,78146,0,153981
107,HARIPAD,87869,96584,4,184457
108,KAYAMKULAM,96145,105248,1,201394
109,MAVELIKARA,90510,101922,3,192435
110,CHENGANNUR,90485,99378,3,189866
111,THIRUVALLA,95219,103176,0,198395
112,RANNI,85660,90354,1,176015
113,ARANMULA,103163,112005,0,215168
114,KONNI,90128,99237,1,189366
115,ADOOR,95014,106183,3,201200
116,KARUNAGAPPALLY,104343,110168,2,214513
117,CHAVARA,87070,91726,2,178798
118,KUNNATHUR,98146,107546,2,205694
119,KOTTARAKKARA,91605,101667,0,193272
120,PATHANAPURAM,85231,94551,1,179783
121,PUNALUR,93874,103470,2,197346
122,CHADAYAMANGALAM,95716,105999,1,201716
123,KUNDARA,98778,107682,4,206464
124,KOLLAM,79254,85285,2,164541
125,ERAVIPURAM,81278,87584,3,168865
126,CHATHANNUR,82872,94126,2,177000
127,VARKALA,86192,97085,3,183280
128,ATTINGAL,91741,106201,3,197945
129,CHIRAYINKEEZHU,90651,104637,8,195296
130,NEDUMANGAD,94214,103827,1,198042
131,VAMANAPURAM,88274,99552,2,187828
132,KAZHAKKOOTTAM,78687,85874,0,164561
133,VATTIYOORKAVU,78573,86696,3,165272
134,THIRUVANANTHAPURAM,76234,82297,14,158545
135,NEMOM,82666,88504,8,171178
136,ARUVIKKARA,86096,95210,2,181308
137,PARASSALA,95004,100643,1,195648
