AC No.,AC Name,Male,Female,Third Gender,Total
1,MANNADIPET,14620,16490,3,31113
2,THIRUBHUVANAI,15004,16899,0,31903
3,OUSSUDU,15320,17484,3,32807
4,MANGALAM,17523,19586,15,37124
5,VILLIANUR,20423,22434,7,42864
6,OZHUKARAI,18922,21345,2,40269
7,KADIRGAMAM,15179,16450,2,31631
8,INDIRA NAGAR,15383,17178,0,32561
9,THATTANCHAVADY,12428,14170,5,26603
10,KAMARAJ NAGAR,16735,18567,6,35308
11,LAWSPET,14174,15805,1,29980
12,KALAPET,15989,17957,3,33949
13,MUTHIALPET,12202,13916,7,26125
14,RAJ BHAVAN,9616,11431,6,21053
15,OUPALAM,11671,13834,9,25514
16,ORLEAMPETH,10051,11670,8,21729
17,NELLITHOPE,12386,14470,1,26857
18,MUDALIARPET,16471,18071,4,34546
19,ARIANKUPPAM,17721,19751,14,37486
20,MANAVELY,16175,18272,9,34456
21,EMBALAM,15392,17682,2,33076
22,NETTAPAKKAM,14149,16090,8,30247
23,BAHOUR,13388,15256,7,28651
24,NEDUNGADU,14845,16811,6,31662
25,THIRUNALLAR,14408,16732,1,31141
26,KARAIKAL NORTH,15668,17784,10,33462
27,KARAIKAL SOUTH,13986,16128,1,30115
28,NERAVY-T.R.PATTINAM,14040,15830,0,29870
29,MAHE,14049,16188,0,30237
30,YANAM,18443,19529,0,37972
