AC No.,AC Name,Phase,District,Male,Female,Third Gender,Total
1,MEKLIGANJ (SC),1,COOCHBEHAR,116228,108183,2,224413
2,MATHABHANGA (SC),1,COOCHBEHAR,129331,119425,1,248757
3,COOCHBEHAR UTTAR (SC),1,COOCHBEHAR,136255,126823,0,263078
4,COOCHBEHAR DAKSHIN,1,COOCHBEHAR,109394,104570,4,213968
5,SITALKUCHI (SC),1,COOCHBEHAR,151129,134416,3,285548
6,SITAI (SC),1,COOCHBEHAR,143133,129993,0,273126
7,DINHATA,1,COOCHBEHAR,143513,133778,0,277291
8,NATABARI,1,COOCHBEHAR,123248,116669,6,239923
9,TUFANGANJ,1,COOCHBEHAR,122055,115611,1,237667
10,KUMARGRAM (ST),1,ALIPURDUAR,134118,125375,3,259496
11,KALCHINI (ST),1,ALIPURDUAR,109713,111742,2,221457
12,ALIPURDUARS,1,ALIPURDUAR,123903,120423,5,244331
13,FALAKATA (SC),1,ALIPURDUAR,126099,119160,5,245264
14,MADARIHAT (ST),1,ALIPURDUAR,96262,97695,1,193958
15,DHUPGURI (SC),1,JALPAIGURI,133196,124925,6,258127
16,MAYNAGURI (SC),1,JALPAIGURI,133769,124776,0,258545
17,JALPAIGURI (SC),1,JALPAIGURI,126563,123816,2,250381
18,RAJGANJ (SC),1,JALPAIGURI,119299,111495,1,230795
19,DABGRAM-PHULBARI,1,JALPAIGURI,133222,131154,4,264380
20,MAL (ST),1,JALPAIGURI,118926,118526,0,237452
21,NAGRAKATA (ST),1,JALPAIGURI,107824,112292,2,220118
22,KALIMPONG,1,KALIMPONG,100846,100773,0,201619
23,DARJEELING,1,DARJEELING,103033,104681,2,207716
24,KURSEONG,1,DARJEELING,106014,110135,3,216152
25,MATIGARA-NAXALBARI (SC),1,DARJEELING,133571,134906,3,268480
26,SILIGURI,1,DARJEELING,99920,100844,15,200779
27,PHANSIDEWA (ST),1,DARJEELING,109526,107769,3,217298
28,CHOPRA,1,UTTAR DINAJPUR,120091,99140,5,219236
29,ISLAMPUR,1,UTTAR DINAJPUR,107891,94318,8,202217
30,GOALPOKHAR,1,UTTAR DINAJPUR,107310,92154,4,199468
31,CHAKULIA,1,UTTAR DINAJPUR,114782,101311,2,216095
32,KARANDIGHI,1,UTTAR DINAJPUR,121620,109975,4,231599
33,HEMTABAD (SC),1,UTTAR DINAJPUR,130939,115587,4,246530
34,KALIAGANJ (SC),1,UTTAR DINAJPUR,140401,127867,13,268281
35,RAIGANJ,1,UTTAR DINAJPUR,87504,86601,21,174126
36,ITAHAR,1,UTTAR DINAJPUR,110488,100929,5,211422
37,KUSHMUNDI (SC),1,DAKSHIN DINAJPUR,108310,97553,4,205867
38,KUMARGANJ,1,DAKSHIN DINAJPUR,93373,87008,4,180385
39,BALURGHAT,1,DAKSHIN DINAJPUR,84215,82683,14,166912
40,TAPAN (ST),1,DAKSHIN DINAJPUR,99485,95426,3,194914
41,GANGARAMPUR (SC),1,DAKSHIN DINAJPUR,103818,96318,10,200146
42,HARIRAMPUR,1,DAKSHIN DINAJPUR,108885,102402,8,211295
43,HABIBPUR (ST),1,MALDA,120886,117339,5,238230
44,GAZOLE (SC),1,MALDA,129859,125223,3,255085
45,CHANCHAL,1,MALDA,126863,117560,5,244428
46,HARISCHANDRA-PUR,1,MALDA,126029,112818,3,238850
47,MALATIPUR,1,MALDA,113524,99158,9,212691
48,RATUA,1,MALDA,130127,116413,7,246547
49,MANICKCHAK,1,MALDA,124739,111024,2,235765
50,MALDAHA (SC),1,MALDA,117002,114341,5,231348
51,ENGLISH BAZAR,1,MALDA,123959,125171,7,249137
52,MOTHABARI,1,MALDA,86660,82681,6,169347
53,SUJAPUR,1,MALDA,120729,115707,7,236443
54,BAISHNABNAGAR,1,MALDA,121683,112174,8,233865
55,FARAKKA,1,MURSHIDABAD,93170,88485,4,181659
56,SAMSERGANJ,1,MURSHIDABAD,78004,83430,1,161435
57,SUTI,1,MURSHIDABAD,121353,107854,1,229208
58,JANGIPUR,1,MURSHIDABAD,113009,107846,4,220859
59,RAGHUNATHGANJ,1,MURSHIDABAD,103911,96541,0,200452
60,SAGARDIGHI,1,MURSHIDABAD,113465,103508,4,216977
61,LALGOLA,1,MURSHIDABAD,94311,91868,3,186182
62,BHAGABAN GOLA,1,MURSHIDABAD,114659,109958,1,224618
63,RANINAGAR,1,MURSHIDABAD,126493,117894,4,244391
64,MURSHIDABAD,1,MURSHIDABAD,126372,121896,1,248269
65,NABAGRAM (SC),1,MURSHIDABAD,124325,118697,3,243025
66,KHARGRAM (SC),1,MURSHIDABAD,120073,110389,2,230464
67,BURWAN (SC),1,MURSHIDABAD,111612,102386,5,214003
68,KANDI,1,MURSHIDABAD,120346,112675,3,233024
69,BHARATPUR,1,MURSHIDABAD,124672,114508,4,239184
70,REJINAGAR,1,MURSHIDABAD,133771,122490,6,256267
71,BELDANGA,1,MURSHIDABAD,126928,117052,4,243984
72,BAHARAMPUR,1,MURSHIDABAD,118741,122079,10,240830
73,HARIHARPARA,1,MURSHIDABAD,126586,118890,8,245484
74,NOWDA,1,MURSHIDABAD,122837,112898,2,235737
75,DOMKAL,1,MURSHIDABAD,137988,129383,3,267374
76,JALANGI,1,MURSHIDABAD,136138,126647,2,262787
77,KARIMPUR,2,NADIA,130536,122305,3,252844
78,TEHATTA,2,NADIA,131243,121184,4,252431
79,PALASHIPARA,2,NADIA,122063,109553,4,231620
80,KALIGANJ,2,NADIA,121552,110905,3,232460
81,NAKASHIPARA,2,NADIA,115752,102914,3,218669
82,CHAPRA,2,NADIA,123420,108637,0,232057
83,KRISHNANAGAR UTTAR,2,NADIA,109610,106841,5,216456
84,NABADWIP,2,NADIA,118182,111826,3,230011
85,KRISHNANAGAR DAKSHIN,2,NADIA,109405,100374,2,209781
86,SANTIPUR,2,NADIA,118363,109105,9,227477
87,RANAGHAT UTTAR PASCHIM,2,NADIA,119177,113531,8,232716
88,KRISHNAGANJ,2,NADIA,132520,120515,1,253036
89,RANAGHAT UTTAR PURBA,2,NADIA,122368,110022,9,232399
90,RANAGHAT DAKSHIN,2,NADIA,130916,122428,2,253346
91,CHAKDAHA,2,NADIA,115182,108796,3,223981
92,KALYANI,2,NADIA,117783,112699,7,230489
93,HARINGHATA,2,NADIA,116952,108152,5,225109
94,BAGDA,2,NORTH 24 PARGANAS,126236,114747,6,240989
95,BANGAON UTTAR,2,NORTH 24 PARGANAS,116517,109424,21,225962
96,BANGAON DAKSHIN,2,NORTH 24 PARGANAS,117928,110425,6,228359
97,GAIGHATA,2,NORTH 24 PARGANAS,113921,108799,3,222723
98,SWARUPNAGAR,2,NORTH 24 PARGANAS,119447,109516,2,228965
99,BADURIA,2,NORTH 24 PARGANAS,122187,113971,4,236162
100,HABRA,2,NORTH 24 PARGANAS,107658,101156,8,208822
101,ASHOKNAGAR,2,NORTH 24 PARGANAS,117314,112185,7,229506
102,AMDANGA,2,NORTH 24 PARGANAS,115380,105823,4,221207
103,BIJPUR,2,NORTH 24 PARGANAS,80060,78032,4,158096
104,NAIHATI,2,NORTH 24 PARGANAS,85321,85251,9,170581
105,BHATPARA,2,NORTH 24 PARGANAS,61817,55375,3,117195
106,JAGATDAL,2,NORTH 24 PARGANAS,99648,95971,11,195630
107,NOAPARA,2,NORTH 24 PARGANAS,107095,106628,4,213727
108,BARRACKPUR,2,NORTH 24 PARGANAS,86097,84548,1,170646
109,KHARDAHA,2,NORTH 24 PARGANAS,104991,104857,7,209855
110,DUM DUM UTTAR,2,NORTH 24 PARGANAS,118324,122013,4,240341
111,PANIHATI,2,NORTH 24 PARGANAS,93805,95905,4,189714
112,KAMARHATI,2,NORTH 24 PARGANAS,80693,81947,6,162646
113,BARANAGAR,2,NORTH 24 PARGANAS,90690,95847,4,186541
114,DUM DUM,2,NORTH 24 PARGANAS,105629,111908,4,217541
115,RAJARHAT NEW TOWN,2,NORTH 24 PARGANAS,136100,131541,4,267645
116,BIDHANNAGAR,2,NORTH 24 PARGANAS,98891,104979,7,203877
117,RAJARHAT GOPALPUR,2,NORTH 24 PARGANAS,106453,112429,8,218890
118,MADHYAMGRAM,2,NORTH 24 PARGANAS,123863,120618,4,244485
119,BARASAT,2,NORTH 24 PARGANAS,126025,126398,16,252439
120,DEGANGA,2,NORTH 24 PARGANAS,124607,115396,4,240007
121,HAROA,2,NORTH 24 PARGANAS,127503,115892,5,243400
122,MINAKHAN,2,NORTH 24 PARGANAS,119376,102631,4,222011
123,SANDESHKHALI,2,NORTH 24 PARGANAS,117641,105623,5,223269
124,BASIRHAT DAKSHIN,2,NORTH 24 PARGANAS,132772,127583,6,260361
