constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,rounds completed,total rounds
MEKLIGANJ,1,DADHIRAM RAY,Bharatiya Janata Party,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,29584,19/19,Result Declared,19,19
MATHABHANGA,2,NISHITH PRAMANIK,Bharatiya Janata Party,DR. SABLU BARMAN,All India Trinamool Congress,57090,24/24,Result Declared,24,24
COOCHBEHAR UTTAR,3,SUKUMAR RAY,Bharatiya Janata Party,PARTHA PRATIM RAY,All India Trinamool Congress,70384,23/23,Result Declared,23,23
COOCHBEHAR DAKSHIN,4,RATHINDRA BOSE,Bharatiya Janata Party,AVIJIT DE BHOWMIK,All India Trinamool Congress,23284,23/23,Result Declared,23,23
SITALKUCHI,5,SABITRI BARMAN,Bharatiya Janata Party,HARIHAR DAS,All India Trinamool Congress,25278,27/27,Result Declared,27,27
SITAI,6,SANGITA ROY,All India Trinamool Congress,ASHUTOSH BARMA,Bharatiya Janata Party,2721,23/23,Result Declared,23,23
DINHATA,7,AJAY RAY,Bharatiya Janata Party,UDAYAN GUHA,All India Trinamool Congress,17447,25/25,Result Declared,25,25
NATABARI,8,GIRIJA SHANKAR RAY,Bharatiya Janata Party,SAILENDRA NATH BARMA,All India Trinamool Congress,34613,22/22,Result Declared,22,22
TUFANGANJ,9,MALATI RAVA ROY,Bharatiya Janata Party,SHIBSANKAR PAUL,All India Trinamool Congress,26457,22/22,Result Declared,22,22
KUMARGRAM,10,MANOJ KUMAR ORAON,Bharatiya Janata Party,RAJEEV TIRKEY,All India Trinamool Congress,52877,24/24,Result Declared,24,24
KALCHINI,11,BISHAL LAMA,Bharatiya Janata Party,BIRENDRA BARA (ORAON),All India Trinamool Congress,37843,23/23,Result Declared,23,23
ALIPURDUARS,12,PARITOSH DAS,Bharatiya Janata Party,SUMAN KANJILAL,All India Trinamool Congress,70420,24/24,Result Declared,24,24
FALAKATA,13,DIPAK BARMAN,Bharatiya Janata Party,SUBHASH CHANDRA ROY,All India Trinamool Congress,45999,24/24,Result Declared,24,24
MADARIHAT,14,LAXUMAN LIMBU,Bharatiya Janata Party,JAYPRAKASH TOPPO,All India Trinamool Congress,40910,19/19,Result Declared,19,19
DHUPGURI,15,NARESH ROY,Bharatiya Janata Party,NIRMAL CHANDRA ROY,All India Trinamool Congress,38550,15/15,Result Declared,15,15
MAYNAGURI,16,DALIM CHANDRA ROY,Bharatiya Janata Party,RAMMOHAN RAY,All India Trinamool Congress,56503,17/17,Result Declared,17,17
JALPAIGURI,17,ANANTA DEB ADHIKARY,Bharatiya Janata Party,KRISHNA DAS,All India Trinamool Congress,68805,19/19,Result Declared,19,19
RAJGANJ,18,DINESH SARKAR,Bharatiya Janata Party,SWAPNA BARMAN,All India Trinamool Congress,21477,13/13,Result Declared,13,13
DABGRAM-FULBARI,19,SIKHA CHATTERJEE,Bharatiya Janata Party,RANJAN SIL SHARMA,All India Trinamool Congress,97715,18/18,Result Declared,18,18
MAL,20,SUKRA MUNDA,Bharatiya Janata Party,BULU CHIK BARAIK,All India Trinamool Congress,15492,19/19,Result Declared,19,19
NAGRAKATA,21,PUNA BHENGRA,Bharatiya Janata Party,SANJAY KUJUR,All India Trinamool Congress,25858,19/19,Result Declared,19,19
KALIMPONG,22,BHARAT KUMAR CHETRI,Bharatiya Janata Party,RUDEN SADA LEPCHA,Bharatiya Gorkha Prajatantrik Morcha,21464,12/12,Result Declared,12,12
DARJEELING,23,NOMAN RAI,Bharatiya Janata Party,BIJOY KUMAR RAI,Bharatiya Gorkha Prajatantrik Morcha,6057,17/17,Result Declared,17,17
KURSEONG,24,SONAM LAMA,Bharatiya Janata Party,AMAR LAMA,Bharatiya Gorkha Prajatantrik Morcha,17007,15/15,Result Declared,15,15
MATIGARA-NAXALBARI,25,ANANDAMAY BARMAN,Bharatiya Janata Party,SHANKAR MALAKAR,All India Trinamool Congress,104265,14/14,Result Declared,14,14
SILIGURI,26,SHANKAR GHOSH,Bharatiya Janata Party,GOUTAM DEB,All India Trinamool Congress,73192,15/15,Result Declared,15,15
PHANSIDEWA,27,DURGA MURMU,Bharatiya Janata Party,REENA TOPNO EKKA,All India Trinamool Congress,45263,15/15,Result Declared,15,15
CHOPRA,28,HAMIDUL RAHAMAN,All India Trinamool Congress,SANKAR ADHIKARI,Bharatiya Janata Party,69124,20/20,Result Declared,20,20
ISLAMPUR,29,AGARWAL KANAIA LAL,All India Trinamool Congress,CHITRAJIT ROY,Bharatiya Janata Party,40063,18/18,Result Declared,18,18
GOALPOKHAR,30,MD GHULAM RABBANI,All India Trinamool Congress,SARAJIT BISWAS,Bharatiya Janata Party,83790,19/19,Result Declared,19,19
CHAKULIA,31,AZAD MINHAJUL ARFIN,All India Trinamool Congress,MANOJ KUMAR JAIN,Bharatiya Janata Party,28011,21/21,Result Declared,21,21
KARANDIGHI,32,BIRAJ BISWAS,Bharatiya Janata Party,GOUTAM PAUL,All India Trinamool Congress,19869,15/15,Result Declared,15,15
HEMTABAD,33,HARIPADA BARMAN,Bharatiya Janata Party,SATYAJIT BARMAN,All India Trinamool Congress,12361,15/15,Result Declared,15,15
KALIAGANJ,34,UTPAL BRAHMACHARO,Bharatiya Janata Party,NITAI BAISHYA,All India Trinamool Congress,76425,19/19,Result Declared,19,19
RAIGANJ,35,KOUSHIK CHOWDHURY,Bharatiya Janata Party,KRISHNA KALYANI,All India Trinamool Congress,58641,14/14,Result Declared,14,14
ITAHAR,36,MOSARAF HUSSEN,All India Trinamool Congress,SABITA BARMAN,Bharatiya Janata Party,27878,15/15,Result Declared,15,15
KUSHMANDI,37,TAPAS CHANDRA ROY,Bharatiya Janata Party,REKHA ROY,All India Trinamool Congress,9063,20/20,Result Declared,20,20
KUMARGANJ,38,TORAF HOSSAIN MANDAL,All India Trinamool Congress,SUBHENDU SARKAR,Bharatiya Janata Party,6685,17/17,Result Declared,17,17
BALURGHAT,39,BIDYUT KUMAR ROY,Bharatiya Janata Party,ARPITA GHOSH,All India Trinamool Congress,47576,16/16,Result Declared,16,16
TAPAN,40,BUDHRAI TUDU,Bharatiya Janata Party,CHINTAMANI BIHA,All India Trinamool Congress,36987,17/17,Result Declared,17,17
GANGARAMPUR,41,SATYENDRA NATH ROY,Bharatiya Janata Party,Goutam Das,All India Trinamool Congress,28339,18/18,Result Declared,18,18
HARIRAMPUR,42,BIPLAB MITRA,All India Trinamool Congress,DEBABRATA MAJUMDER,Bharatiya Janata Party,1986,18/18,Result Declared,18,18
HABIBPUR,43,JOYEL MURMU,Bharatiya Janata Party,AMAL KISKU,All India Trinamool Congress,78188,20/20,Result Declared,20,20
GAZOLE,44,CHINMOY DEB BARMAN,Bharatiya Janata Party,PRASENJIT DAS,All India Trinamool Congress,38192,21/21,Result Declared,21,21
CHANCHAL,45,PRASUN BANERJEE,All India Trinamool Congress,RATAN DAS,Bharatiya Janata Party,63874,22/22,Result Declared,22,22
HARISCHANDRAPUR,46,MD. MATIBUR RAHAMAN,All India Trinamool Congress,RATAN DAS,Bharatiya Janata Party,48271,21/21,Result Declared,21,21
MALATIPUR,47,ABDUR RAHIM BOXI,All India Trinamool Congress,MAUSAM B NOOR,Indian National Congress,59747,20/20,Result Declared,20,20
RATUA,48,SAMAR MUKHERJEE,All India Trinamool Congress,ABISHEK SINGHANIA,Bharatiya Janata Party,32562,23/23,Result Declared,23,23
MANIKCHAK,49,GOUR CHANDRA MANDAL,Bharatiya Janata Party,KABITA MANDAL,All India Trinamool Congress,13938,21/21,Result Declared,21,21
MALDAHA,50,GOPAL CHANDRA SAHA,Bharatiya Janata Party,LIPIKA BARMAN GHOSH,All India Trinamool Congress,50128,21/21,Result Declared,21,21
ENGLISH BAZAR,51,AMLAN BHADURI (BURO),Bharatiya Janata Party,ASIS KUNDU (PATA),All India Trinamool Congress,93784,22/22,Result Declared,22,22
MOTHABARI,52,ISLAM MD NAJRUL,All India Trinamool Congress,NIBARAN GHOSH,Bharatiya Janata Party,10496,17/17,Result Declared,17,17
SUJAPUR,53,SABINA YEASMIN,All India Trinamool Congress,ABDUL HANNAN,Indian National Congress,60287,20/20,Result Declared,20,20
BAISNABNAGAR,54,RAJU KARMAKAR,Bharatiya Janata Party,CHANDANA SARKAR,All India Trinamool Congress,46881,21/21,Result Declared,21,21
FARAKKA,55,MOTAB SHAIKH,Indian National Congress,SUNIL CHOWDHURI,Bharatiya Janata Party,8193,19/19,Result Declared,19,19
SAMSERGANJ,56,MOHAMMED NOOR ALAM,All India Trinamool Congress,MD NAJME ALAM,Indian National Congress,7587,20/20,Result Declared,20,20
SUTI,57,EMANI BISWAS,All India Trinamool Congress,MAHABIR GHOSH,Bharatiya Janata Party,12357,21/21,Result Declared,21,21
JANGIPUR,58,CHITTA MUKHERJEE,Bharatiya Janata Party,JAKIR HOSSAIN,All India Trinamool Congress,10542,21/21,Result Declared,21,21
RAGHUNATHGANJ,59,AKHRUZZAMAN,All India Trinamool Congress,NASIR SAIKH,Indian National Congress,40555,21/21,Result Declared,21,21
SAGARDIGHI,60,BAYRON BISWAS,All India Trinamool Congress,TAPAS KUMAR CHAKRABORTY,Bharatiya Janata Party,34260,19/19,Result Declared,19,19
